브랜드,제품명,주요효능,연령대,평점,리뷰수,가격,전성분,제형
[정품],"[정품] 요하다 크랜베리 요-C35 케어 식약청인증 해썹, 1개, 120정",종합케어,50대,4.5,4665,24500,일반,일반
종근당,"종근당 차전자피 식이섬유 30개입, 204g, 1개",체지방감소·다이어트,60대이상,4.5,43111,16900,일반,일반
저분자,"저분자 철갑상어 콘드로이친 C6S 6형 1200 MBP 뮤코다당단백 식약청 HACCP 자주가게, 2개, 30정",종합케어,20대,5.0,2227,19800,일반,일반
센트휴,"센트휴 식물성 멜라토닌 5mg 함유, 1개, 120정",종합케어,40대,5.0,1499,16900,일반,일반
재로우,"재로우 우먼스 펨 도필러스 프로바이오틱스 유산균, 60정, 1개",장건강,60대이상,5.0,20254,33970,일반,일반
스포츠리서치,"스포츠리서치 1040mg 오메가-3 피쉬 오일 트리플 스트렝스 소프트젤, 90정, 1개",혈관케어,30대,5.0,79556,29280,일반,일반
일양약품,"일양약품 물리고 모기 벌레 물린데 시원한 쿨 가려움완화, 1개",종합케어,30대,4.5,1963,4560,일반,일반
식물성,"식물성 멜라토닌 1일 2mg 함유 멜라 테아닌 나잇 식약청인증 HACCP 자주가게, 2개, 60정",종합케어,40대,5.0,32387,24600,일반,일반
고려은단,"고려은단 코엔자임Q10, 90정, 1개",종합케어,20대,5.0,2456,17900,일반,일반
리얼케어,"리얼케어 매일레몬 리얼 유기농 레몬즙, 280g, 1개",종합케어,50대,5.0,841,4100,일반,일반
스완슨,"스완슨 베르베린 400mg 캡슐, 60개입, 1개, 60정",종합케어,50대,5.0,1736,25900,일반,일반
포스트,"포스트 에너지바 액티브 미니, 210g, 1개",종합케어,50대,5.0,1971,4350,일반,일반
나우푸드,"나우푸드 메가 D-3 5000 lU & MK-7 180mcg 캡슐, 1개, 120정",종합케어,50대,5.0,1895,27280,일반,일반
동화약품,"동화약품 코엔자임 큐10 코큐텐 맥스 혈압 항산화 케어 관리 조절 30g, 60정, 1개",종합케어,30대,5.0,7836,14600,일반,일반
온리비푸드,"온리비푸드 순수 사양벌꿀, 1개, 500g",종합케어,30대,5.0,2642,6600,일반,일반
고려은단,"고려은단 비타민C 1000 플러스, 100ml, 20개",피로회복,50대,5.0,49329,9500,일반,일반
고려은단,"고려은단 루테인 지아잔틴 아스타잔틴, 60정, 1개",눈건강,30대,5.0,22632,23900,일반,일반
레모나,"레모나 상큼한 비타민C 30포, 60g, 1개",피로회복,60대이상,5.0,20567,5900,일반,일반
나우푸드,"나우푸드 프로바이오틱-10 유산균 250억 베지 캡슐, 100정, 1개",장건강,40대,5.0,20349,34770,일반,일반
해태제과,"해태제과 칼로리 바란스 치즈 7p, 266g, 1개",종합케어,40대,5.0,2666,4990,일반,일반
포스트,"포스트 밸런스 미니 에너지바, 231g, 1개",종합케어,60대이상,5.0,1817,5300,일반,일반
나우푸드,"나우푸드 B-12 1000mcg 로젠지, 250정, 1개",종합케어,40대,5.0,4021,19000,일반,일반
휘트니스,"휘트니스 식염 포도당 총120정 60정 X 2박스, 2개",종합케어,20대,4.5,4239,9300,일반,일반
나우푸드,"나우푸드 마그네슘 캡 400mg 베지 캡슐, 180정, 1개",종합케어,40대,5.0,12008,19390,일반,일반
광동,"광동 면역 비타민C 1000, 120정, 1개",피로회복,40대,5.0,1079,9600,일반,일반
출출허니,"출출허니 사양벌꿀 국내산 꿀스틱, 1개, 100g",종합케어,50대,5.0,1074,5230,일반,일반
[공식],"[공식] 서리맥스, 60정, 1개",종합케어,50대,4.5,453,28290,일반,일반
종근당건강,"종근당건강 원데이21 멀티비타민 앤 미네랄, 60정, 2개",피로회복,20대,5.0,59419,19500,일반,일반
주영엔에스,"주영엔에스 뼈엔 엠비피, 30정, 1개",종합케어,30대,5.0,33904,40500,일반,일반
나우푸드,"나우푸드 글루타티온 500mg 베지 캡슐, 60정, 1개",종합케어,30대,5.0,9312,28030,일반,일반
[Jarrow,"[Jarrow Formulas] 자로우 포뮬러스 도피러스 EPS 유산균 100억 CFU, 120정, 1개",장건강,30대,5.0,48370,33960,일반,일반
나우푸드,"나우푸드 엽산 800mcg 비타민 B-12 타블렛, 250정, 1개",피로회복,30대,5.0,3751,7950,일반,일반
그린몬스터,"그린몬스터 맥스 칼슘 마그네슘 비타민D 아연 3개월분, 90정, 1개",피로회복,60대이상,5.0,4150,6500,일반,일반
쏜리서치,"쏜리서치 베이직 B 컴플렉스 캡슐, 60정, 1개",종합케어,60대이상,5.0,16732,29750,일반,일반
뉴트리디데이,"뉴트리디데이 프리미엄 마그네슘 400, 90정, 2개",종합케어,40대,5.0,10149,19900,일반,일반
[공식판매처],"[공식판매처] 헤이데일리 NMN-C 엔엠엔씨 천연NMN 비타민C 레몬맛 10포, 3개, 20g",피로회복,40대,4.5,3872,37200,일반,일반
닥터스베스트,"닥터스베스트 고흡수 킬레이트 마그네슘 타블렛, 1개",종합케어,50대,4.5,2117,18490,일반,일반
뉴트리코스트,"뉴트리코스트 나이아신아마이드 비타민 B3 500mg 캡슐, 240정, 1개",피로회복,60대이상,5.0,2063,19980,일반,일반
크루거,"크루거 비타민C 500 발포비타민 레몬맛 20정 고함량 비타민C 발포정, 3개",피로회복,60대이상,5.0,236,9790,일반,일반
고려은단,"고려은단 식물성 퓨어 알티지 오메가3 기억력+, 60정, 1개",혈관케어,20대,5.0,27356,16400,일반,일반
GNM자연의품격,"GNM자연의품격 유기농 양배추 브로콜리 진액, 90ml, 30개",종합케어,60대이상,4.5,50987,18510,일반,일반
나우푸드,"나우푸드 마그네슘 글리시네이트 바이오페린 베지 캡슐, 1개, 60정",종합케어,40대,5.0,605,15090,일반,일반
아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 2개",피로회복,60대이상,5.0,9197,26800,일반,일반
로지나,"로지나 프리미엄 오한진의 백세 알부민 30p, 990g, 1개",종합케어,20대,4.5,2899,31400,일반,일반
99바이탈,"99바이탈 활력 비타민B 컴플렉스, 1개, 360정",피로회복,30대,5.0,3568,9900,일반,일반
세노비스,"세노비스 키즈 츄어블 오메가3, 150정, 1개",혈관케어,30대,4.5,12080,27320,일반,일반
닥터유,"닥터유 단백질바 미니 44p, 594g, 1개",종합케어,40대,5.0,50840,14690,일반,일반
동화약품,"동화약품 부채표 까스활 소화제, 75ml, 10개",종합케어,60대이상,5.0,9849,8400,일반,일반
나우푸드,"나우푸드 실리마린 밀크 시슬 추출물 300mg 베지 캡슐, 100정, 1개",종합케어,60대이상,5.0,18136,20210,일반,일반
하이뮨,"하이뮨 프로틴 밸런스, 304g, 2개",종합케어,50대,5.0,52509,33100,일반,일반
네츄럴올가,"네츄럴올가 유기농 하스카프베리 동결건조 분말 스틱, 1개, 14g",종합케어,20대,5.0,288,10900,일반,일반
뉴트리디데이,"뉴트리디데이 엘비타 리얼 NFC 100% 유기농 레몬즙, 500ml, 1개",종합케어,20대,5.0,138,5000,일반,일반
369마켓,"369마켓 일회용 PE 긴뚜껑 20cc 약병, 100개",종합케어,20대,4.5,18181,6300,일반,일반
한국야쿠르트,"한국야쿠르트 갓비움 애플민트 230ml, 8개",종합케어,40대,5.0,3537,10840,일반,일반
99바이탈,"99바이탈 뼈튼튼 칼슘 마그네슘 비타민D 아연, 1개, 300정",피로회복,30대,5.0,2728,9900,일반,일반
나우푸드,"나우푸드 L-테아닌 200mg 베지 캡슐, 120정, 1개",종합케어,40대,5.0,3950,28850,일반,일반
맑은습관,"맑은습관 L-라이신 베타글루칸 엘리신 아연, 1개, 120정",종합케어,60대이상,5.0,1275,10900,일반,일반
뉴욕웨이,"뉴욕웨이 올에이지 WPI 함유 미숫가루맛 단백질보충제 단백질쉐이크 산양유 프로틴, 1개, 2kg",종합케어,50대,4.5,4832,36900,일반,일반
[4개월분],"[4개월분] 강황 수용성 커큐민 식약청 HACCP 인증 (대용량), 1개, 120정",종합케어,60대이상,5.0,2532,16800,일반,일반
나우푸드,"나우푸드 마그네슘 시트레이트 베지 캡슐, 120정, 1개",종합케어,40대,5.0,5565,16630,일반,일반
99바이탈,"99바이탈 비타민D3 5000IU, 1개, 300정",피로회복,40대,5.0,2739,9900,일반,일반
마데카솔,"마데카솔 연고, 2개, 8g",종합케어,40대,5.0,33841,9290,일반,일반
멘소래담,"멘소래담 쿨 스프레이 175ml, 1개입, 2개",종합케어,60대이상,5.0,20303,6170,일반,일반
99바이탈,"99바이탈 맥주효모 비오틴 10000, 1개, 300정",종합케어,50대,5.0,3045,9900,일반,일반
플라이밀,"플라이밀 리얼초코 고단백 단백질 쉐이크, 630g, 1개",종합케어,50대,5.0,397,28000,일반,일반
나우푸드,"나우푸드 울트라 오메가 3 500 EPA 250 DHA 소프트젤, 180정, 1개",혈관케어,60대이상,5.0,34523,40180,일반,일반
함소아,"함소아 비타민D 1000IU 60p, 60정, 1개",피로회복,20대,5.0,25876,11900,일반,일반
해태htb,"해태htb 영진 구론산 탄산 스파클링 오리지날, 150ml, 10개",종합케어,40대,5.0,12637,7030,일반,일반
잠백이,"잠백이 저스트 크레아틴, 300g, 1개",종합케어,60대이상,5.0,2052,13900,일반,일반
헬로바이오,"헬로바이오 맥스 비타민C 3000 90p, 270g, 1개",피로회복,50대,5.0,4689,10700,일반,일반
액티브핏,"액티브핏 스포츠 포도당 캔디 3가지맛 100p, 100정, 1개",종합케어,40대,5.0,5308,9980,일반,일반
락토핏,"락토핏 생유산균 키즈, 60회분, 120g, 1개",장건강,60대이상,5.0,69588,12780,일반,일반
[정품],"[정품] 블랙마카 아르기닌 풀파워 365, 1개, 120정",종합케어,30대,5.0,2561,9900,일반,일반
그레인온,"그레인온 골드 카무트 브랜드밀 효소, 90g, 4개",종합케어,20대,4.5,54474,52060,일반,일반
나우푸드,"나우푸드 케르세틴 브로멜라인 베지 캡슐, 120정, 1개",종합케어,20대,5.0,6025,29320,일반,일반
케어란스,"케어란스 포근한 밤 굿나잇 식물성 멜라토닌 5mg 함유, 1개, 30정",종합케어,20대,4.5,2089,7800,일반,일반
솔티스,"솔티스 눈프로텍션 프로 S3, 20정, 3개",눈건강,20대,4.5,20470,35600,일반,일반
고려은단,"고려은단 멀티비타민 올인원 우먼, 60정, 1개",피로회복,30대,5.0,1432,21950,일반,일반
고려은단,"고려은단 속편한 비타민C 1000 중성비타민C, 120정, 1개",피로회복,40대,5.0,5455,17950,일반,일반
뉴트리케이,"뉴트리케이 파라다이스 그레인 버닝컷 6파라돌, 1박스, 60정",종합케어,50대,5.0,2296,24940,일반,일반
[공식],"[공식] 숙취해소제 알디콤Plus 액상 스틱형 5포입, 105ml, 1개",종합케어,60대이상,5.0,863,12770,일반,일반
고려인삼,"고려인삼 사양벌꿀, 750g, 1개",종합케어,50대,5.0,12571,8150,일반,일반
나우푸드,"나우푸드 데일리 비츠 멀티비타민 & 미네랄 타블렛, 250정, 1개",피로회복,30대,5.0,13771,33890,일반,일반
뉴트리코어,"뉴트리코어 하이퍼셀 코엔자임Q10 하이퍼코엔자임 코앤자임 2개, 30정",종합케어,30대,4.5,736,34000,일반,일반
고려은단,"고려은단 코엔자임Q10, 90정, 2개",종합케어,50대,5.0,2456,33900,일반,일반
닥터스베스트,"닥터스베스트 MSM 1500mg 타블렛, 120정, 3개",종합케어,60대이상,5.0,26928,37020,일반,일반
SP스포츠,"SP스포츠 ISP 분리대두단백질 흑임자맛, 1.2kg, 1개",종합케어,30대,5.0,103,19500,일반,일반
[비에날씬],"[비에날씬] BNR17 다이어트 유산균 비에날씬 프로, 30회분, 1개",체지방감소·다이어트,40대,4.5,5048,45900,일반,일반
고려은단,"고려은단 메가도스C 비타민C 1000mg 180포, 180g, 1개",피로회복,30대,5.0,323,21900,일반,일반
[아르기닌,"[아르기닌 + 타우린 급속충전!] 대웅제약 에너씨슬 집중샷 샤인머스캣맛, 2개, 10회분",종합케어,30대,5.0,653,37500,일반,일반
아이원,"아이원 루테인지아잔틴 미니, 60정, 1개",눈건강,50대,5.0,45752,16000,일반,일반
아이클리어,"아이클리어 루테인지아잔틴, 30정, 1개",눈건강,30대,5.0,179264,8190,일반,일반
팔도,"팔도 쿠퍼스 헛개차, 500ml, 20개",종합케어,60대이상,5.0,32660,14360,일반,일반
EVLUTIONNUTRITION,"EVLUTIONNUTRITION 크레아틴 5000mg 언플레이버드, 300g, 1개",종합케어,60대이상,5.0,2092,20350,일반,일반
올리트루,"올리트루 프리미엄 류신 단백질 맥스, 1개, 120정",종합케어,30대,5.0,2039,10900,일반,일반
"미에로화이바,","미에로화이바, 100ml, 20개",종합케어,40대,5.0,32877,10900,일반,일반
그레인온,"그레인온 골드 카무트 브랜드밀 효소, 90g, 6개",종합케어,50대,4.5,54474,77420,일반,일반
프로틴스토리,"프로틴스토리 맛있는 단백질 퓨어프로틴7, 3kg, 퓨어프로틴7 맛있는 유청 단백질보충제 3kg 쿠키맛, 1개",종합케어,20대,4.5,2278,45500,일반,일반
비피젠,"비피젠 퓨어 비피더스 골드 프로바이오틱스 특허균 50억 보장, 1개, 30정",종합케어,40대,4.5,1309,37350,일반,일반
비타500,"비타500 칼슘 음료, 100ml, 20개",종합케어,60대이상,5.0,86106,11850,일반,일반
니프젠,"니프젠 스파이크 프리미엄 600mg, 30정, 2개",종합케어,50대,4.5,11103,60800,일반,일반
고려은단,"고려은단 식물성 퓨어 알티지 오메가3 기억력+, 60정, 2개",혈관케어,60대이상,5.0,27356,31400,일반,일반
재로우,"재로우 사카로미세스 보울라디 + MOS 유산균 베지 캡, 180정, 1개",장건강,50대,5.0,7516,36450,일반,일반
닥터린,"닥터린 정품 초임계 알티지 오메가3 알파, 30정, 1개",혈관케어,60대이상,5.0,40288,9400,일반,일반
동결건조,"동결건조 하스카프베리분말 폴란드산 c3g, 30g, 1개",종합케어,40대,4.5,151,10700,일반,일반
제로삼육오,"제로삼육오 모기가 물었을 때 밤, 1개",종합케어,40대,4.5,1068,6750,일반,일반
김오곤원장의,"김오곤원장의 한방(OnePunch) 다이어트 환 28포_체지방 감소 차전자피 가르시니아 식이섬유, 2박스, 140g",체지방감소·다이어트,20대,4.0,2120,38900,일반,일반
지비엠에스,"지비엠에스 제주산 당찬여주 발효효소 30p, 60g, 1개",종합케어,30대,4.5,251,23710,일반,일반
나우푸드,"나우푸드 CoQ10 100mg 소프트젤, 150개, 1개",종합케어,40대,5.0,3128,37760,일반,일반
하루활력,"하루활력 배도라지청, 10ml, 30개입",종합케어,30대,4.5,28006,7490,일반,일반
푸드올로지,"푸드올로지 마인드풀 지중해 레몬그린티, 15회분, 1개",종합케어,40대,5.0,1344,25800,일반,일반
99바이탈,"99바이탈 편안한 눈 루테인 미니, 1개, 150정",눈건강,30대,5.0,3403,9900,일반,일반
비타500,"비타500 프레쉬, 100ml, 20개",종합케어,30대,5.0,27047,11680,일반,일반
포스트,"포스트 단백질바 미니 21p, 231g, 2개",종합케어,50대,5.0,3838,8100,일반,일반
500억,"500억 유산균 CJ 바이오코어 건강한 생유산균 고함량 특허유산균, 1개, 60정",장건강,20대,5.0,8113,30900,일반,일반
해태제과,"해태제과 칼로리 바란스 치즈 7p, 266g, 2개",종합케어,30대,5.0,28474,8710,일반,일반
고려은단,"고려은단 식물성 퓨어 알티지 오메가3 기억력+, 60정, 3개",혈관케어,30대,5.0,27356,45240,일반,일반
하이뮨,"하이뮨 프로틴 밸런스, 304g, 3개",종합케어,50대,5.0,52509,49550,일반,일반
락토핏,"락토핏 종근당건강 생유산균 코어맥스, 120g, 1개",장건강,50대,5.0,5809,11760,일반,일반
락토핏,"락토핏 다이어트 유산균 60p, 120g, 1개",체지방감소·다이어트,60대이상,5.0,14779,15300,일반,일반
유한메디카,"유한메디카 마그네슘 엔 탑 400 맥스 108g, 90정, 1개",종합케어,50대,5.0,1625,11310,일반,일반
종근당건강,"종근당건강 정품 비타민D 2000IU, 90정, 1개",피로회복,60대이상,5.0,856,10840,일반,일반
한미양행,"한미양행 낙산균을 채우다 15g, 30정, 1개",종합케어,60대이상,4.5,6120,6900,일반,일반
본사직영,"본사직영 여에스더 리포좀 비타민C 플러스 국민영양 프로젝트, 30정, 4개",피로회복,50대,4.5,2788,35600,일반,일반
블랙커민,"블랙커민 씨드오일, 1개, 30정",종합케어,50대,4.5,279,48900,일반,일반
일양약품,"일양약품 마그네슘 스피드액 14p, 280g, 1개",종합케어,50대,5.0,3497,11500,일반,일반
비에날씬,"비에날씬 BNR17 비엔날씬 유산균 BMR17 김희선 다이어트 유산균 60캡슐 1개, 60정",체지방감소·다이어트,40대,4.5,27469,46890,일반,일반
토레타,"토레타 이온음료, 240ml, 30개",종합케어,30대,5.0,18054,14460,일반,일반
나우푸드,"나우푸드 맥시멈 스트렝스 밀크 씨슬 추출물 750mg 실리마린 600mg 베지 캡슐, 1개, 90정",종합케어,40대,5.0,671,28750,일반,일반
그레인온,"그레인온 골드 파로효소 캡슐레이션, 30회분, 2개",종합케어,20대,4.5,2272,36950,일반,일반
그레인온,"그레인온 골드 카무트 브랜드밀 효소, 90g, 3개",종합케어,60대이상,4.5,54474,40180,일반,일반
정원담,"정원담 프리미엄 자연 야생화 순수 벌꿀, 1개, 500g",종합케어,40대,4.5,7076,10770,일반,일반
박카스,"박카스 에프액, 120ml, 20개",종합케어,30대,5.0,109002,15250,일반,일반
밸러니티,"밸러니티 5mg 식물성 멜라토닌 테아닌 트립토판 15g, 1개, 30정",종합케어,20대,4.5,10738,13940,일반,일반
뉴트리디데이,"뉴트리디데이 프리미엄 비타민B 컴플렉스 골드, 90정, 1개",피로회복,20대,5.0,20426,10900,일반,일반
나우푸드,"나우푸드 L-리신 1000mg 타블렛, 250정, 1개",종합케어,30대,5.0,2317,30220,일반,일반
뉴트리가든,"뉴트리가든 비타민D3 5000IU, 180정, 1개",피로회복,40대,5.0,41319,12500,일반,일반
이알하나,"이알하나 ERr731 중년 여성 영양제, 1개, 28정",종합케어,60대이상,4.5,5209,26500,일반,일반
이알하나,"이알하나 ERr731 중년 여성 영양제, 2개, 28정",종합케어,50대,4.5,5209,53000,일반,일반
지엘핀정,"지엘핀정 프리미엄 솔루션, 1박스, 30정",종합케어,20대,4.0,274,37500,일반,일반
고려은단,"고려은단 메가도스B 비타민B군, 60정, 3개",피로회복,60대이상,5.0,9004,48500,일반,일반
샐러드팁,"샐러드팁 식이섬유 41g, 1개, 120정",체지방감소·다이어트,30대,5.0,1668,9900,일반,일반
클룹,"클룹 푸룬주스 화이바 제로, 6개, 180ml",종합케어,50대,4.5,4594,8780,일반,일반
광동진한헛개차,"광동진한헛개차 남, 180ml, 30개",종합케어,20대,5.0,15342,9500,일반,일반
오로나민씨,"오로나민씨 탄산 드링크, 120ml, 20개",종합케어,40대,5.0,43788,13510,일반,일반
고려은단,"고려은단 루테인 지아잔틴 아스타잔틴, 60정, 3개",눈건강,30대,5.0,22632,62700,일반,일반
무안,"무안 빨간양파즙 110ml 120팩 뿌리부터 껍질까지 달임, 120개",종합케어,20대,4.5,2202,29900,일반,일반
리얼케어,"리얼케어 칼륨 포타슘 수분 전해질 밸런스엔 1500 144g, 1개, 120정",종합케어,50대,5.0,1543,9900,일반,일반
홀베리,"홀베리 유기농 레몬즙, 350g, 1개",종합케어,50대,4.5,20699,10900,일반,일반
코앤텍,"코앤텍 동국제약 플레이 8g, 1개",종합케어,40대,5.0,423,9900,일반,일반
뉴트리디데이,"뉴트리디데이 프리미엄 밀크씨슬 골드, 90정, 45g, 1개",종합케어,50대,5.0,41023,12900,일반,일반
재로우,"재로우 우먼스 펨 도피러스 유산균 캡슐, 60정, 2개",장건강,30대,5.0,10694,57910,일반,일반
재로우,"재로우 펨 도필러스 유산균 서플먼트 10억 CFU 베지 캡슐, 60정, 2개",장건강,60대이상,5.0,82517,58260,일반,일반
지리산벌꿀,"지리산벌꿀 100% 자연산 아카시아꿀, 1개, 2.4kg",종합케어,40대,5.0,165,36800,일반,일반
푸드올로지,"푸드올로지 정품 마인드풀 지중해 올리브오일 캡슐, 30회분, 1개",종합케어,60대이상,5.0,6175,28800,일반,일반
메디비,"메디비 메디 케어 플러스, 1개, 25ml",종합케어,60대이상,4.5,3367,10290,일반,일반
국산,"국산 해남 해풍 쑥가루 100% 쑥 분말 라떼 파우더, 1개, 150g",종합케어,40대,5.0,164,11400,일반,일반
네추럴라이즈,"네추럴라이즈 멀티비타민 꾸미, 60정, 1개",피로회복,50대,5.0,15106,12900,일반,일반
쏜,"쏜 리서치 마그네슘 글리시네이트 캡슐, 1개, 90정",종합케어,40대,5.0,365,28500,일반,일반
쏜리서치,"쏜리서치 베이직 B 컴플렉스 캡슐, 60정, 2개",종합케어,60대이상,5.0,16732,57120,일반,일반
테일러,"테일러 푸룬 딥워터, 180ml, 4개",종합케어,50대,5.0,5423,16200,일반,일반
일양약품,"일양약품 혈당건강 바나바리프 영양제, 60정, 1개",종합케어,60대이상,4.5,10185,12120,일반,일반
이너랩,"이너랩 화이트 저분자 콜라겐 글루타치온, 60g, 1개",종합케어,60대이상,5.0,8577,12450,일반,일반
뉴트리정,"뉴트리정 식물성 멜라토닌 2mg 함유, 1개, 60정",종합케어,50대,5.0,4139,9900,일반,일반
함소아,"함소아 프로폴리스, 30ml, 1개",종합케어,40대,4.5,25145,7500,일반,일반
이알하나,"이알하나 ERr731 중년 여성 영양제, 3개, 28정",종합케어,60대이상,4.5,5209,81810,일반,일반
고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 4개",피로회복,50대,5.0,286054,50480,일반,일반
나우푸드,"나우푸드 프로바이오틱-10 유산균 250억 베지 캡슐, 100정, 2개",장건강,40대,5.0,20349,65380,일반,일반
브래그,"브래그 애플사이다비네거 음용식초, 1개, 946ml",종합케어,40대,4.5,52502,13800,일반,일반
뉴트리라이트,"뉴트리라이트 더블엑스 리필 종합 비타민 무기질, 372정, 1개",피로회복,60대이상,5.0,6688,75820,일반,일반
브래그,"브래그 유기농 사과 식초, 1개, 473ml",종합케어,50대,4.5,52502,8830,일반,일반
