브랜드,제품명,주요효능,연령대,평점,리뷰수,가격,전성분,제형
[정품],"[정품] 자보티카바 정 Jaboticaba, 1개, 120정",종합케어,40대,5.0,3397,9900,일반,일반
종근당,"종근당 정품 칼슘 앤 마그네슘 비타민D 아연, 180정, 1개",피로회복,30대,5.0,185282,14280,일반,일반
WHOLELIFE,"WHOLELIFE 유기농 레몬즙 14p, 280g, 1개",종합케어,20대,4.5,19059,4800,일반,일반
종근당건강,"종근당건강 프로메가 오메가3 트리플, 60정, 1개",혈관케어,50대,5.0,144195,10240,일반,일반
센트휴,"센트휴 샐러드 식이섬유 41g, 1개, 120정",체지방감소·다이어트,20대,5.0,2249,9900,일반,일반
식물성,"식물성 멜라토닌 1일 2mg 함유 멜라 테아닌 나잇 식약청인증 HACCP 자주가게, 1개, 60정",종합케어,50대,5.0,32387,13300,일반,일반
비코드,"비코드 데일리 액상 면봉 귓속청결제, 1개, 50개입",종합케어,30대,4.5,3494,7730,일반,일반
리본핏,"리본핏 덴마크 프리미엄 구강유산균, 30정, 1개",장건강,60대이상,4.5,4158,9900,일반,일반
아임비타,"아임비타 비타민D 4000IU 6g, 1개, 60정",피로회복,50대,5.0,187,8150,일반,일반
나우푸드,"나우푸드 비오틴 5000mcg 베지 캡슐 비건, 120정, 1개",종합케어,20대,5.0,17141,14160,일반,일반
고려은단,"고려은단 쏠라C 정 레몬맛, 80정, 1개",종합케어,60대이상,5.0,6970,6660,일반,일반
네이처드림,"네이처드림 엑스트라버진 올리브오일 식물성캡슐, 30정, 1개",종합케어,30대,5.0,2173,6980,일반,일반
고려은단,"고려은단 비타민C 1000 + 쇼핑백, 180정, 1개",피로회복,50대,5.0,286054,17150,일반,일반
99바이탈,"99바이탈 올인원 종합비타민, 1개, 300정",피로회복,20대,5.0,4516,9900,일반,일반
센트휴,"센트휴 블랙마카 메가 부스터, 2개, 120정",종합케어,50대,5.0,9033,19800,일반,일반
올웨일리,"올웨일리 국산 오가닉 면봉 이탈리아 코튼, 100개입, 4개",종합케어,20대,5.0,3129,4910,일반,일반
락토핏,"락토핏 정품 골드 80포, 160g, 1개",장건강,50대,5.0,258710,18500,일반,일반
메가도스,"메가도스 비타민C 3000mg, 180g, 1개",피로회복,60대이상,5.0,64205,17900,일반,일반
황금이네,"황금이네 늙은 호박즙, 100ml, 30개",종합케어,40대,5.0,6962,17900,일반,일반
셀렉스,"셀렉스 프로핏 모카 초콜릿, 250ml, 18개",종합케어,30대,5.0,3658,25870,일반,일반
비타500,"비타500 프레쉬, 100ml, 10개",종합케어,60대이상,5.0,27047,5840,일반,일반
(정품),"(정품) 레모너스 고체레몬즙, 1개, 120정",종합케어,30대,5.0,2138,9900,일반,일반
초저분자,"초저분자 피쉬콜라겐 펩타이드 비오틴 100% HACCP인증, 1개, 120정",종합케어,20대,5.0,4915,9900,일반,일반
메가도스,"메가도스 B 비타민 컴플렉스 51g, 60정, 1개",피로회복,40대,5.0,9004,17000,일반,일반
쏜리서치,"쏜리서치 마그네슘 시트라메이트 캡슐, 90정, 1개",종합케어,50대,5.0,6272,24240,일반,일반
포스파티딜세린,"포스파티딜세린 식약청인증 100% 두뇌영양소 기억력 인지력 분말, 1개",종합케어,60대이상,5.0,581,14800,일반,일반
베베모린,"베베모린 뽀롱뽀롱 뽀로로 복숭아맛 비타민C, 50정, 3개",피로회복,20대,5.0,14624,6300,일반,일반
세노비스,"세노비스 정품 마그네슘, 90정, 1개",종합케어,40대,5.0,34302,14880,일반,일반
그린몬스터,"그린몬스터 다이어트 스페셜 2 가르시니아 900, 112정, 1개",체지방감소·다이어트,60대이상,4.5,47556,12700,일반,일반
센트휴,"센트휴 소연골 콘드로이친 1200 MBP, 5개, 60정",종합케어,40대,5.0,7080,24900,일반,일반
종근당,"종근당 철분 엽산 비타민D 플러스, 60정, 1개",피로회복,40대,5.0,22184,10950,일반,일반
헬스헬퍼,"헬스헬퍼 맥스컷 프로 크롬, 120정, 1개",종합케어,60대이상,5.0,2634,39620,일반,일반
BYO,"BYO 코어 피부면역 유산균 30p, 60g, 1개",장건강,60대이상,5.0,5525,11850,일반,일반
솔티스,"솔티스 눈프로텍션 프로 S3, 20정, 1개",눈건강,40대,4.5,20470,12300,일반,일반
덴프스,"덴프스 정품 덴마크 유산균이야기, 30정, 2개",장건강,20대,5.0,62576,27240,일반,일반
해태제과,"해태제과 칼바 프로틴 바란스 코코아퍼지 7p, 266g, 1개",종합케어,30대,4.5,1878,6280,일반,일반
아임비타,"아임비타 종근당건강 멀티비타민 이뮨샷 7 164.36g, 7회분, 1개",피로회복,20대,5.0,9197,13450,일반,일반
뉴트리코스트,"뉴트리코스트 정품 크레아틴 분말, 300g, 1개",종합케어,40대,5.0,14284,23900,일반,일반
그레인온,"그레인온 골드 카무트 브랜드밀 효소, 90g, 2개",종합케어,30대,4.5,54474,28020,일반,일반
동화약품,"동화약품 부채표 까스활 소화제, 75ml, 20개",종합케어,60대이상,5.0,80671,15300,일반,일반
종근당,"종근당 정품 활력 비타민B 플러스, 60정, 1개",피로회복,50대,5.0,41617,14210,일반,일반
드노윌,"드노윌 다용도 초미세 면봉 뾰족 면봉 피지 압출 여드름 메이크업 수정 청소용 면봉, 1세트, 200개입",종합케어,50대,5.0,44,2500,일반,일반
재로우,"재로우 우먼 펨-도필러스 유산균 10억 베지테리안 캡슐, 60정, 1개",장건강,60대이상,5.0,82517,31500,일반,일반
재로우,"재로우 우먼스 펨 도피러스 유산균 캡슐, 60정, 1개",장건강,30대,5.0,10694,30070,일반,일반
광동제약,"광동제약 비타민C 1000mg 8개월분, 240정, 1개",피로회복,30대,5.0,10810,12990,일반,일반
렌즈케어,"렌즈케어 렌즈클리닝 일회용 티슈 200매입, 1개",종합케어,40대,5.0,30199,8890,일반,일반
